Field=#~Integer~#~50|Field=Comment~String~Comment~100|Field=Description~String~Description~100|Field=Designator~String~Designator~100|Field=Footprint~String~Footprint~100|Field=LibRef~String~LibRef~100|Field=Quantity~Integer~Quantity~100|Field=Supplier Part Number~String~Supplier Part Number~100|ReportField=Currency~<none>|ReportField=ProductionQuantity~1|ReportField=ProjectFileName~Power Distribution Unit 2019.PrjPCB|ReportField=ProjectFullPath~C:\Users\TannerOleksiuk\Documents\GitHub\PDU2019\Power Distribution Unit 2019.PrjPCB|ReportField=Title~Bill of Materials For Project [Power Distribution Unit 2019.PrjPCB] (No PCB Document Selected)|ReportField=ReportTime~7:36:48 PM|ReportField=ReportDate~2018-12-13|ReportField=ReportDateTime~2018-12-13 7:36:48 PM|ReportField=OutputName~Bill of Materials|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~None|ReportField=TotalQuantity~135|ReportField=TotalActualPrice~0|ReportField=TotalTargetPrice~0|ReportField=VersionControl_RevNumber~|ReportField=VersionControl_ProjFolderRevNumber~4c07dc9120d4e360e9774227c20a66b3ea7ffc78|ReportField=Address1~|ReportField=Address2~|ReportField=Address3~|ReportField=Address4~|ReportField=Application_BuildNumber~|ReportField=ApprovedBy~|ReportField=Author~|ReportField=CheckedBy~|ReportField=CompanyName~|ReportField=CurrentDate~2018-12-13|ReportField=CurrentTime~6:51:35 PM|ReportField=Date~|ReportField=DocumentFullPathAndName~C:\Users\TannerOleksiuk\Documents\GitHub\PDU2019\Candunio.SchDoc|ReportField=DocumentName~Candunio.SchDoc|ReportField=DocumentNumber~|ReportField=DrawnBy~|ReportField=Engineer~|ReportField=ImagePath~|ReportField=ModifiedDate~2018-12-11|ReportField=Organization~|ReportField=ProjectName~Power Distribution Unit 2019.PrjPCB|ReportField=Revision~|ReportField=Rule~|ReportField=SheetNumber~|ReportField=SheetTotal~|ReportField=Time~|ReportField=Title~|ReportField=DataSourceFileName~Power Distribution Unit 2019.PrjPCB|ReportField=DataSourceFullPath~C:\Users\TannerOleksiuk\Documents\GitHub\PDU2019\Power Distribution Unit 2019.PrjPCB|ReportField=PCBConfigurationName~Sources|ReportField=Item~|ReportField=ItemRevision~|ReportField=ItemAndRevision~|ReportField=ItemRevisionBase~|ReportField=ItemRevisionLevel1~|ReportField=ItemRevisionLevel2~|ReportField=ItemRevisionLevel1AndBase~|ReportField=ItemRevisionLevel2AndLevel1~
1|1A|Fuse|5VSpr1, 5VSpr2, 12VSpr1, 12VSpr2, BRKLTVIN, Cntrllr, ETBDrv, FP Rly, Inj, MS, Mtr Cntrl, Shft, Strt|FUSC4632X85N|Fuse 2|13|507-1878-1-ND
2|500mA|Fuse|ACCL, BPT, ETB, Susp, WSPD|FUSC4632X85N|Fuse 2|5|507-1876-1-ND
3|4.7uF|Capacitor (Semiconductor SIM Model)|C1, C5, C9, C17, C18, C19, C20|CAPC3216X170N|Cap Semi|7|1276-1055-1-ND
4|1uF|Capacitor (Semiconductor SIM Model)|C2, C10|CAPC3216X170N|Cap Semi|2|1276-3086-1-ND
5|100nF|Capacitor (Semiconductor SIM Model)|C3, C6, C7, C8|CAPC3216X170N|Cap Semi|4|1276-1151-1-ND
6|Cap2|Capacitor. Ceramic 10uF 50V rating recommended, place close to pin|C4, C11, C12, C13, C14, C15, C16|CAPC3216X170N|Cap2|7|
7|Red|Typical RED, GREEN, YELLOW, AMBER GaAs LED|D1, D10, D11, D15, D16, D17, D22, D23|LEDC3216X120NRED|LED2, LED2_2|8|732-4992-1-ND
8|Green|Typical RED, GREEN, YELLOW, AMBER GaAs LED|D2|LEDC3216X120NGRN|LED2|1|732-4993-1-ND
9|Yellow|Typical RED, GREEN, YELLOW, AMBER GaAs LED|D3, D5, D6, D7|LEDC3216X120NYEL|LED2|4|732-4994-1-ND
10|Diode|Default Diode, Switching diode|D4, D18, D20, D21, D24|DO-220AA|Diode|5|SS1P3L-M3/84AGICT-ND, [NoParam]
11|Diode|Default Diode|D8, D9, D12, D13, D14|SOD123|Diode|5|
12|Diode|Default Diode|D19|SMC|Diode|1|
13|Fuse 2|Fuse|F1|1812|Fuse 2|1|‎MF-MSMF050-2CT-ND
14|USB micro B|CONN SM TH USB MICRO MODIFIED FOR DRILL|J1|1050170001|1050170001|1|609-4618-1-ND
15|PB134012|Miniature Power PCB Relay PB, 1 Form A Contact, 12 V, 10 A, 360 mW, Standard Version, -40 to 85 degC, 5-Pin 15 x 15 x 20 mm THD, RoHS, Tube|K1|TECO-PB134-5_V|PB134012|1|
16|Relay-3PDT||K2, K3|55.13|Relay-3PDT|2|
17|ICSP|Header, 3-Pin, Dual row|P1|Pin Header 2x3 TH Pitch 2.54mm|Header 3X2A|1|
18|Serial|Header, 2-Pin|P2|Pin Header 1x2 TH Pitch 2.54mm|Header 2|1|
19|CANOUT|Header, 2-Pin|P3||Header 2|1|
